,throughput (kbps),latency (ms),packetlossrate (%),snr (dB),rssi (dBm),distance (cm),depth (cm),moisture (ml),soil type,tx_power (dBm),datarate
0,7.300059159088078,-1888.5705507407404,0.9166666666666666,58.109837962962956,-88.35421296296296,10.0,20.0,0.0,yellow soil,15.0,4.0
1,7.293454548905076,-1890.7742631944448,1.3333333333333333,58.195740740740746,-92.3516898148148,20.0,20.0,0.0,yellow soil,15.0,4.0
2,7.303875425237315,-1893.1825912962966,1.0833333333333333,58.150046296296296,-89.97296296296294,40.0,20.0,0.0,yellow soil,15.0,4.0
3,7.299614197848714,-1895.5221958333334,1.0833333333333333,58.60513888888888,-99.35388888888889,80.0,20.0,0.0,yellow soil,15.0,4.0
4,7.279305811372289,-1899.9678911574074,1.6666666666666667,58.559953703703705,-100.00951388888888,160.0,20.0,0.0,yellow soil,15.0,4.0
5,7.27881555738049,65.08044476851853,2.1666666666666665,57.940702711640206,-77.47803571428572,20.0,20.0,0.0,sand,15.0,4.0
6,7.28845063507318,65.02110833333333,2.3333333333333335,57.94729166666667,-79.16047619047619,20.0,20.0,300.0,sand,15.0,4.0
7,7.283394800281538,65.18721535714286,2.6666666666666665,58.06517857142858,-75.54416666666667,20.0,20.0,600.0,sand,15.0,4.0
8,7.299996075872912,65.17302107142858,2.0,58.01589285714285,-76.54305555555555,20.0,20.0,1200.0,sand,15.0,4.0
9,7.295487342680924,65.00780001322751,2.0,58.08989087301588,-73.91891534391534,20.0,20.0,2400.0,sand,15.0,4.0
10,7.3013308269632144,66.51704555555554,1.0,58.042500000000004,-76.08666666666667,20.0,20.0,0.0,gravel,15.0,4.0
11,7.298945073407703,69.03450888888888,1.0,58.1163888888889,-80.44888888888887,30.0,20.0,0.0,gravel,15.0,4.0
12,7.282087474425732,71.6153975,2.0,57.95812500000001,-72.325,40.0,20.0,0.0,gravel,15.0,4.0
