,throughput (kbps),rtt (ms),packetlossrate (%),snr (dB),rssi (dBm),distance (cm),depth (cm),moisture (ml),soil type,tx_power (dBm)
0,1027.4583333333333,115.3625,4.166666666666667,0.0,-15.5,10.0,20.0,0.0,yellow soil,20.0
1,1026.8333333333333,81.88691666666666,4.55,0.0,-16.333333333333332,20.0,20.0,0.0,yellow soil,20.0
2,1023.3333333333334,134.83124999999998,4.183333333333334,0.0,-28.833333333333332,40.0,20.0,0.0,yellow soil,20.0
3,1039.375,153.90733333333333,4.575,0.0,-72.83333333333333,80.0,20.0,0.0,yellow soil,20.0
4,1039.125,139.16325,4.133333333333334,0.0,-74.16666666666667,160.0,20.0,0.0,yellow soil,20.0
5,832.47601010101,0.0,0.041666666666666664,0.0,-26.0,20.0,20.0,0.0,sand,20.0
6,856.1742424242424,0.0,0.08333333333333333,0.0,-25.666666666666668,20.0,20.0,300.0,sand,20.0
7,856.1742424242424,0.0,0.08333333333333333,0.0,-25.666666666666668,20.0,20.0,600.0,sand,20.0
8,856.1742424242424,0.0,0.08333333333333333,0.0,-25.666666666666668,20.0,20.0,1200.0,sand,20.0
9,856.1742424242424,0.0,0.08333333333333333,0.0,-25.666666666666668,20.0,20.0,2400.0,sand,20.0
10,926.4545454545455,81.382,0.0,0.0,-13.0,20.0,20.0,0.0,gravel,20.0
11,829.3333333333334,82.796,0.32,0.0,-13.0,20.0,30.0,0.0,gravel,20.0
12,944.4166666666666,152.484,0.0,0.0,-13.0,20.0,40.0,0.0,gravel,20.0
